method,task_index,task,diagonal_score_percent,task9_final_score_percent
slao,1,task1572_samsum_summary,44.83703437833597,26.96281758320969
slao,2,task363_sst2_polarity_classification,90.0,90.0
slao,3,task1290_xsum_summarization,28.332164896130102,28.087682617178835
slao,4,task181_outcome_extraction,69.5242274180405,71.3608662314235
slao,5,task002_quoref_answer_generation,81.72380952380952,82.34761904761905
slao,6,task1510_evalution_relation_extraction,98.66666666666669,99.0
slao,7,task639_multi_woz_user_utterance_generation,13.18299668916367,9.705239805337783
slao,8,task1729_personachat_generate_next,16.825409359167303,17.480632781244456
slao,9,task073_commonsenseqa_answer_generation,79.0,79.0
seqlora,1,task1572_samsum_summary,44.83703437833597,32.73587793929699
seqlora,2,task363_sst2_polarity_classification,90.0,88.0
seqlora,3,task1290_xsum_summarization,29.850243790352682,27.56124798827126
seqlora,4,task181_outcome_extraction,68.86239842695814,60.27947776417789
seqlora,5,task002_quoref_answer_generation,78.49047619047619,78.92380952380952
seqlora,6,task1510_evalution_relation_extraction,99.57142857142857,96.66666666666669
seqlora,7,task639_multi_woz_user_utterance_generation,13.918237004922828,10.35525707169961
seqlora,8,task1729_personachat_generate_next,17.658897874426252,17.558650542435036
seqlora,9,task073_commonsenseqa_answer_generation,76.0,76.0
